iter	Passed	Remaining
0	46	46372
1	73	36876
2	102	34180
3	128	32102
4	161	32104
5	191	31712
6	225	31922
7	298	37056
8	335	36968
9	364	36134
10	390	35067
11	424	34928
12	456	34686
13	485	34174
14	510	33506
15	535	32941
16	563	32604
17	594	32407
18	622	32141
19	669	32809
20	702	32737
21	728	32386
22	755	32088
23	786	31988
24	815	31800
25	839	31441
26	869	31348
27	904	31412
28	938	31421
29	970	31365
30	998	31206
31	1024	30994
32	1049	30758
33	1083	30782
34	1134	31292
35	1202	32210
36	1231	32061
37	1259	31896
38	1286	31699
39	1320	31695
40	1350	31578
41	1377	31424
42	1401	31202
43	1428	31032
44	1452	30816
45	1480	30698
46	1508	30594
47	1541	30577
48	1571	30493
49	1594	30292
50	1618	30118
51	1650	30092
52	1685	30110
53	1710	29963
54	1741	29914
55	1768	29813
56	1798	29755
57	1826	29659
58	1850	29519
59	1880	29461
60	1904	29323
61	1942	29385
62	1982	29481
63	2018	29526
64	2055	29560
65	2090	29588
66	2113	29436
67	2144	29389
68	2180	29418
69	2212	29397
70	2240	29315
71	2269	29256
72	2298	29187
73	2321	29047
74	2350	28995
75	2388	29033
76	2415	28957
77	2444	28892
78	2474	28847
79	2500	28759
80	2526	28663
81	2556	28617
82	2597	28695
83	2626	28646
84	2658	28620
85	2685	28541
86	2717	28518
87	2748	28481
88	2791	28572
89	2837	28694
90	2877	28745
91	2925	28870
92	2974	29008
93	3009	29006
94	3061	29168
95	3118	29368
96	3154	29362
97	3184	29313
98	3216	29274
99	3244	29198
100	3276	29160
101	3304	29093
102	3334	29036
103	3359	28939
104	3387	28870
105	3413	28787
106	3442	28734
107	3474	28698
108	3502	28629
109	3529	28555
110	3553	28462
111	3582	28403
112	3607	28315
113	3638	28276
114	3671	28253
115	3702	28218
116	3736	28198
117	3762	28120
118	3786	28029
119	3814	27971
120	3839	27888
121	3867	27836
122	3898	27798
123	3943	27862
124	3978	27850
125	4014	27849
126	4053	27860
127	4080	27801
128	4109	27747
129	4151	27785
130	4179	27724
131	4210	27689
132	4235	27608
133	4263	27554
134	4286	27468
135	4315	27418
136	4352	27419
137	4382	27376
138	4411	27327
139	4437	27256
140	4464	27196
141	4487	27113
142	4518	27079
143	4553	27069
144	4584	27029
145	4618	27017
146	4649	26981
147	4674	26910
148	4701	26849
149	4728	26795
150	4760	26765
151	4792	26734
152	4815	26658
153	4843	26610
154	4868	26543
155	4895	26487
156	4922	26430
157	4955	26408
158	4989	26393
159	5062	26577
160	5093	26544
161	5129	26534
162	5154	26467
163	5191	26462
164	5225	26442
165	5249	26375
166	5317	26523
167	5356	26526
168	5440	26751
169	5511	26908
170	5569	27000
171	5638	27143
172	5696	27229
173	5737	27235
174	5770	27205
175	5809	27199
176	5834	27130
177	5860	27063
178	5891	27023
179	5922	26981
180	5968	27008
181	6014	27031
182	6053	27026
183	6084	26981
184	6123	26974
185	6155	26939
186	6188	26903
187	6213	26836
188	6240	26776
189	6267	26721
190	6298	26675
191	6322	26605
192	6356	26579
193	6386	26532
194	6412	26471
195	6437	26407
196	6464	26352
197	6495	26308
198	6519	26241
199	6549	26199
200	6580	26157
201	6616	26140
202	6650	26109
203	6678	26057
204	6705	26005
205	6732	25950
206	6764	25913
207	6800	25893
208	6829	25848
209	6853	25783
210	6885	25747
211	6920	25721
212	6952	25688
213	6983	25649
214	7025	25649
215	7077	25688
216	7132	25735
217	7160	25685
218	7186	25629
219	7220	25599
220	7252	25564
221	7284	25528
222	7312	25477
223	7333	25404
224	7360	25351
